time,uptime,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,APE,CVNAS,DLA0_CORE,DLA0_FALCON,DLA1_CORE,DLA1_FALCON,NVDEC,NVDEC1,NVENC,NVENC1,NVJPG,PVA0_AXI,PVA0_VPS0,PVA0_VPS1,PVA1_AXI,PVA1_VPS0,PVA1_VPS1,SE,VIC,Fan tegra_pwmfan0,Temp AO,Temp AUX,Temp CPU,Temp GPU,Temp thermal,Power thermal,Power TOT,jetson_clocks,nvp model
2023-10-12 18:09:04.598004,0:14:56.960000,35,33,34,34,OFF,OFF,0.22541142105541312,0.0,0,66.5,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,50.98039215686274,54.0,54.5,56.0,54.5,54.8,1780,6147,OFF,MODE_10W_4CORE
2023-10-12 18:09:04.600220,0:14:56.960000,35,33,34,34,OFF,OFF,0.22541142105541312,0.0,0,66.5,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,50.98039215686274,54.0,54.5,56.0,54.5,54.8,1780,6147,OFF,MODE_10W_4CORE
2023-10-12 18:09:05.597667,0:14:57.960000,46,41,50,63,OFF,OFF,0.22549464617962106,0.0,0,47.9,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,50.98039215686274,54.0,54.5,56.0,55.0,54.8,1780,6230,OFF,MODE_10W_4CORE
2023-10-12 18:09:06.595068,0:14:58.960000,32,25,35,30,OFF,OFF,0.22549291746784225,0.0,0,47.1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,50.98039215686274,54.5,54.5,56.0,55.0,54.9,1821,6313,OFF,MODE_10W_4CORE
2023-10-12 18:09:07.579910,0:14:59.960000,17,11,14,13,OFF,OFF,0.22543735173209511,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,50.98039215686274,54.0,54.0,55.5,54.5,54.95,1656,5192,OFF,MODE_10W_4CORE
2023-10-12 18:09:08.582452,0:15:00.960000,10,10,8,10,OFF,OFF,0.22483748874485152,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,50.98039215686274,54.0,54.5,55.5,54.5,54.6,1656,5067,OFF,MODE_10W_4CORE
2023-10-12 18:09:09.582537,0:15:01.960000,25,21,25,25,OFF,OFF,0.22551267417388568,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,50.98039215686274,54.0,54.5,55.5,54.5,54.6,1697,5482,OFF,MODE_10W_4CORE
2023-10-12 18:09:10.586945,0:15:02.960000,14,8,10,7,OFF,OFF,0.22551934206217533,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,50.98039215686274,54.0,54.0,55.5,54.5,54.8,1656,5108,OFF,MODE_10W_4CORE
2023-10-12 18:09:11.609451,0:15:03.960000,46,41,37,36,OFF,OFF,0.22547834689713522,0.0,0,15.3,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,50.98039215686274,54.0,54.5,56.0,55.0,54.8,1821,6438,OFF,MODE_10W_4CORE
2023-10-12 18:09:12.614262,0:15:04.960000,52,57,61,63,OFF,OFF,0.22562479348068215,0.0,0,42.7,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,50.98039215686274,54.0,54.5,56.0,55.0,55.1,1863,6770,OFF,MODE_10W_4CORE
